DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Denmark,2023,44.396,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Euro area – 20 countries (from 2023),2021,20.656,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Euro area – 20 countries (from 2023),2022,21.804,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Euro area – 20 countries (from 2023),2023,23.400,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Estonia,2019,31.73,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Estonia,2020,30.069,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Estonia,2021,37.342,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Estonia,2022,38.542,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Estonia,2023,40.950,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Greece,2019,19.633,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Greece,2020,21.749,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Greece,2021,22.001,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Greece,2022,22.671,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Greece,2023,25.269,,
ESTAT:NRG_IND_REN(1.0),07/03/25 23:00:00,Annual,Renewable energy sources,Percentage,Spain,2019,17.852,,
